grupo,mean,std,min,max,eje
extratrees,0.012907436631792215,0.0175855516197086,-0.03387371877640155,0.03955121971955211,head
histgb,-0.004845491563008721,0.021773571418469275,-0.06257472143847742,0.01838745158050792,head
rf,-0.011417657196194883,0.02538700579969646,-0.058339842400862985,0.010148831821635396,head
mlp,-0.016442480211549076,0.04283982609204422,-0.1342727644673989,0.014665327658489158,head
xgb,-0.03240563623256941,0.06326054885935531,-0.16251946078353224,0.021955483291622113,head
lgbm,-0.0357400942619249,0.06299723889444604,-0.18546591639700527,0.025308317259921664,head
logreg_l2,-0.036169825556990214,0.0438685966155059,-0.10671682633807833,0.018291808139256904,head
logreg_l1,-0.04438209909014751,0.053707215035530796,-0.1334172870206537,0.019909776353753128,head
logreg_en,-0.05434739291919729,0.07550622404815963,-0.16933671273492423,0.03791996769377104,head
22,-0.019601444334041235,0.051517192955596314,-0.16933671273492423,0.03955121971955211,pooling
gg,-0.029919275754800936,0.05125425758537202,-0.18546591639700527,0.02618504880472272,pooling
A,-0.029178285081610838,0.05261049179704353,-0.18546591639700527,0.021955483291622113,input_type
AB,-0.02034243500723134,0.0502754087964511,-0.16251946078353224,0.03955121971955211,input_type
logreg,0.00831588726117918,0.007113255102264285,-0.00391075404226382,0.02166323944335513,modelo_fusion
histgb,-0.03211066182309389,0.04072446991968621,-0.18546591639700527,0.03955121971955211,modelo_fusion
mlp,-0.05048630557134855,0.06714474239619071,-0.16933671273492423,0.02618504880472272,modelo_fusion
