candidato,modelo_fusion,auc_E_via_aggregate,delta_vs_base,p_delong_vs_base
M_A_22__xgb,NINGUNO_base,0.6891132005899705,0.0,
M_A_22__xgb,logreg,0.6854258849557522,-0.0036873156342184243,0.8308267368812263
M_A_22__xgb,histgb,0.6364652470501475,-0.05264795353982321,0.1563447535844884
M_A_22__xgb,mlp,0.6644081858407079,-0.024705014749262566,0.3627801549547218
M_A_gg__mlp,NINGUNO_base,0.6552936025073747,0.0,
M_A_gg__mlp,logreg,0.6714256084070797,0.016132005899704982,0.17742136901598848
M_A_gg__mlp,histgb,0.6425205106932153,-0.012773091814159199,0.6493546407886672
M_A_gg__mlp,mlp,0.6650880346607669,0.009794432153392374,0.436141458911234
M_A_22__rf,NINGUNO_base,0.6679111356932153,0.0,
M_A_22__rf,logreg,0.6729005346607668,0.004989398967551573,0.6564341994167755
M_A_22__rf,histgb,0.5990908462389379,-0.06882028945427732,0.01333731417859263
M_A_22__rf,mlp,0.6729351032448379,0.005023967551622377,0.688624503593027
