config_mama,head,auc_mama,auc_estudio_agg_max,config_estudio_directo,auc_estudio_directo,delta_agg_minus_directo,p_delong
M_A_22,xgb,0.6813346510874129,0.6891132005899705,E_A_22,0.6314643252212389,0.057648875368731645,0.0552095044058476
M_AB_gg,lgbm,0.6758138991174236,0.6721054572271387,E_AB_gg,0.6282897769174042,0.043815680309734484,0.15531303930094364
M_A_22,rf,0.6802692894223668,0.6679111356932153,E_A_22,0.6373640302359882,0.030547105457227053,0.12077566260620265
M_AB_gg,histgb,0.6810583478126877,0.6627719395280236,E_AB_gg,0.6392768252212389,0.023495114306784748,0.3384702323291675
M_A_22,histgb,0.6653462558249512,0.65711421460177,E_A_22,0.634667680678466,0.02244653392330398,0.4822708148293193
M_A_gg,mlp,0.6866402053145872,0.6552936025073747,E_A_gg,0.6237440081120944,0.03154959439528027,0.17418282579725863
M_A_22,lgbm,0.6415204119044203,0.6546828908554572,E_A_22,0.612601401179941,0.04208148967551617,0.1818496117954691
M_AB_22,histgb,0.6579923378976509,0.6532425331858407,E_AB_22,0.6246773598820059,0.02856517330383479,0.23346209295435427
M_AB_gg,mlp,0.6709281133268508,0.6493017146017699,E_AB_gg,0.6270165007374631,0.02228521386430682,0.22425027193956026
M_A_gg,logreg_en,0.6763107136594775,0.6458679019174042,E_A_gg,,,
M_A_gg,histgb,0.6691666799504778,0.6446349557522124,E_A_gg,0.6061370759587021,0.03849787979351027,0.19439250337056513
M_A_gg,rf,0.6660609248720769,0.6446349557522124,E_A_gg,0.6499469948377581,-0.005312039085545672,0.8251191037484282
M_AB_22,xgb,0.6329550103879404,0.6416851032448377,E_AB_22,0.6428604351032448,-0.0011753318584070138,0.9571753463830901
M_AB_22,mlp,0.638637824855605,0.6402677912979351,E_AB_22,0.592044616519174,0.048223174778761146,0.02541277073230952
M_A_gg,logreg_l2,0.6643234023560168,0.6394957595870207,E_A_gg,0.6075428650442478,0.031952894542772836,0.310288105825387
M_AB_gg,logreg_en,0.6620439003395342,0.6365459070796461,E_AB_gg,,,
M_AB_gg,logreg_l2,0.6442861014139288,0.636384587020649,E_AB_gg,0.6004563053097345,0.035928281710914556,0.17822654542021432
M_A_gg,xgb,0.6372908463913198,0.6358199668141593,E_A_gg,0.6231217735988202,0.01269819321533916,0.6695789592646635
M_A_gg,extratrees,0.6567410028746168,0.6353475294985251,E_A_gg,0.6317754424778761,0.0035720870206490396,0.8785611526931625
M_A_gg,lgbm,0.64768144357834,0.6333425516224189,E_A_gg,0.5778830199115045,0.055459531710914445,0.10078184393688083
M_AB_22,rf,0.6458190532362021,0.6325474741887906,E_AB_22,0.6278115781710913,0.004735896017699304,0.7485835515778114
M_A_gg,logreg_l1,0.672851609200899,0.6324552912979351,E_A_gg,0.6465362278761062,-0.01408093657817111,0.6377965681241848
M_A_22,mlp,0.6421553780838367,0.6321211283185841,E_A_22,0.5947985803834808,0.03732254793510337,0.12465426093900778
M_AB_gg,extratrees,0.6453620901280028,0.631971331120944,E_AB_gg,0.6270049778761062,0.00496635324483774,0.7441652406343819
M_AB_gg,xgb,0.6438211680189587,0.6316486910029498,E_AB_gg,0.6257605088495576,0.005888182153392263,0.7569288968515246
M_AB_gg,rf,0.6471899425608,0.6289523414454278,E_AB_gg,0.6251094671828908,0.0038428742625369328,0.7901224242747689
M_A_22,logreg_en,0.6348120872055645,0.6277654867256637,E_A_22,,,
M_AB_gg,logreg_l1,0.645811082949431,0.6274774151917404,E_AB_gg,0.6437246497050148,-0.016247234513274367,0.544811836665666
M_A_22,extratrees,0.6346898761417437,0.614813790560472,E_A_22,0.6362981655604719,-0.02148437499999989,0.3960253668494298
M_AB_22,logreg_en,0.6174315485204491,0.6142491703539823,E_AB_22,,,
M_AB_22,logreg_l1,0.6216611140335497,0.61414546460177,E_AB_22,0.5977369100294986,0.016408554572271417,0.5656772278684357
M_A_22,logreg_l1,0.6340469396755563,0.613454092920354,E_A_22,0.6121635324483775,0.0012905604719765096,0.9708449584687988
M_AB_22,lgbm,0.6088316090946286,0.6121635324483776,E_AB_22,0.6168302912979351,-0.004666758849557473,0.8538414651738604
M_AB_22,logreg_l2,0.6184570587516406,0.6078539823008849,E_AB_22,0.5862543786873157,0.021599603613569274,0.471404453037251
M_A_22,logreg_l2,0.6158215505927236,0.5930586283185841,E_A_22,0.5828032817109146,0.01025534660766958,0.7816477811353642
M_AB_22,extratrees,0.617250888686975,0.5920676622418879,E_AB_22,0.626607439159292,-0.034539776917404064,0.020426387105508148
